Step,Type,Element,Description,Image,Source
Raw Materials,Specific,Bauxite,"Chalco Bauxite Mine (Boffa Bauxite Project, West Guinea)",https://res.cloudinary.com/aleesteele/image/upload/v1614179076/raw-aus_copy_lalpgl.png,
Raw Materials,General,Aluminum,,,
Transport,,,Cosco Shipping,,
Smelter & Refiner,,Lithium,Lithium Hydroxide (~white powder),,https://www.pwc.com/id/en/media-centre/pwc-in-news/2020/english/indonesia-primed-for-key-role-in-ev-battery-production.html
Smelter & Refiner,,,Alumina Refineries (Shandong and Guangxi),https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-car_copy_h4zkjd.png,https://www.cmgroup.net/app/uploads/2019/05/CM_Al_Q4_2018.pdf
Transport,Specific,Lithium,Transporting Lithium overseas,https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://klingecorp.com/blog/transporting-lithium-ion-batteries-overseas/
Manufacturing,Specific,Lithium,China - Soundon New Energy factory,https://res.cloudinary.com/aleesteele/image/upload/v1614179078/manu-swed_copy_wkpcpq.png,https://www.wired.co.uk/article/lithium-batteries-environment-impact 
Transport,General,,Why Fragile Industrial Electronics Need Excellent Shipment Monitoring Practices,,https://www.logmore.com/post/industrial-electronics-shipment-monitoring
End Product,Specific,Bauxite,Log Out! The Platform Economy and Worker Resistance,https://res.cloudinary.com/aleesteele/image/upload/v1614179076/trans-ship_copy_eyuevj.png,https://notesfrombelow.org/article/log-out-platform-economy-and-worker-resistance
End Product,Specific,,The world has an e-waste problem,,https://time.com/5594380/world-electronic-waste-problem/
Transport,General,,Amazon,,https://logicmag.io/commons/inside-the-whale-an-interview-with-an-anonymous-amazonian/
Disposal,Specific,,The World Has an E-Waste Problem,,https://time.com/5594380/world-electronic-waste-problem/
Disposal,Specific,,Agbogbloshie,,https://africasacountry.com/2019/03/six-myths-about-electronic-waste-in-agbogbloshie-ghana/